W/L,Win_Margin,Away,Home,Year,Point_Differential,RW,GF/GP,GA/GP,Total_goal_differential,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,Shot_Differential,FOW%,Win% 1 Goal Game,Win% 2 Goal Game,Win% 3 Goal Game,Wins 1 Goal Game,Wins 2 Goal Game,Wins 3 Goal Game,Loss 1 Goal Game,Loss 2 Goal Game,Loss 3 Goal Game,SF GP,W% SF,W% TF,PIM,Pen Drawn/60,Pen Taken/60,Net Pen/60,Bench,Minor,Major,Match,Msct,G Msct,GF in P1,GA in P1,GF in P2,GA in P2,Wins Lead 1P,Loss Lead 1P,Ties Lead 1P,OT Loss Lead 1P,Win% Lead 1P,Wins Lead 2P,Loss Lead 2P,Ties Lead 2P,OT Loss Lead 2P,Win% Lead 2P,Wins Trail 1P,Loss Trail 1P,Ties Trail 1P,OT Loss Trail 1P,Win% Trail 1P,Wins Trail 2P,Loss Trail 2P,Ties Trail 2P,OT Loss Trail 2P,Win% Trail 2P
1,2,SJS,EDM,2017,4,-1,0.29,0.08,0.21,6.2,0,6.6,-1.5,1.2,1.8,-0.6,-1.1,0.078,-0.315,0.148,2,-4,3,-6,7,-4,-6,0.011,0.076,96,0.15,0.41,-0.25,-3,28,12,0,0,-1,-1,14,18,11,-8,1,0,1,-0.117,-4,-1,0,-1,0.038,4,3,0,-1,0.096,6,-5,0,2,0.217
1,3,CBJ,PIT,2017,3,1,0.38,0.44,-0.06,3.2,-2.7,1.4,-5.3,2.5,2.2,0.3,-1,0.001,0.121,-0.081,-4,-4,8,-6,-5,8,-3,-0.062,0.102,-11,0.27,0.16,0.09,5,19,-9,0,-1,1,-11,17,20,6,-7,-4,0,1,0.021,4,0,0,-2,0.057,8,-2,0,-1,0.279,4,-2,0,1,0.126
1,4,CGY,ANA,2017,11,8,-0.03,-0.27,0.24,-1.5,3.1,-2.4,3.4,0.5,0.9,-0.4,5.8,0.095,0.025,0.1,7,-5,3,-1,-3,-2,1,0.119,-0.017,286,0.68,1.11,-0.44,0,61,28,1,0,2,3,-12,-2,-4,2,2,0,-1,-0.005,3,2,0,-3,0.035,0,-8,0,4,0.037,-2,-3,0,4,-0.067
0,-3,SJS,LAK,2016,4,-3,-0.17,-0.18,0.01,-2.6,0.9,-1.3,0.1,1.6,0.1,1.5,-0.2,0.066,-0.038,-0.013,10,-4,-4,3,-3,-2,1,-0.132,0.192,139,-0.46,0.67,-1.13,-5,57,1,2,-2,3,-5,-10,9,4,-8,2,0,1,-0.154,3,5,0,-1,-0.095,0,-6,0,0,0.088,2,-3,0,-2,0.101
0,-2,SJS,STL,2016,9,-1,-0.22,-0.12,-0.1,-1.1,4.7,-0.6,3.5,-0.2,2.3,-2.5,0.6,0.11,0.05,-0.071,8,1,-6,-4,-1,-1,1,-0.087,0.165,134,-0.37,0.7,-1.07,-3,62,-2,0,1,2,-6,-2,-1,4,-9,-3,0,3,-0.062,0,1,0,3,-0.109,3,-4,0,0,0.137,1,0,0,0,0.026
0,-2,PIT,WSH,2016,16,7,0.08,-0.1,0.18,3.5,0.8,3.4,-2.8,-2.6,-1.3,-1.3,-0.6,0.091,0.186,0.067,6,2,0,-2,-3,-3,1,0.084,0.1,60,-0.05,-0.02,-0.03,4,-23,14,1,2,0,-1,-8,-19,-5,1,-2,0,1,0.046,-2,0,0,1,-0.026,2,-7,0,1,0.135,2,-10,0,0,0.151
0,-2,NYI,FLA,2016,3,5,0.06,-0.13,0.19,-1.4,-5,-0.6,-6.2,-0.6,-0.9,0.3,0,0.032,-0.278,0.207,0,-4,6,-1,6,-6,7,0.043,-0.066,131,0.68,0.61,0.07,-2,44,5,0,3,0,3,-8,13,-11,4,1,0,0,-0.007,4,2,0,3,-0.093,-6,2,0,-1,-0.183,-4,-2,0,-4,-0.08
0,-1,STL,DAL,2016,2,6,0.56,0.38,0.18,0.6,-2.9,-3,-0.3,1.8,-0.8,2.6,-1.1,-0.082,0.15,0.044,-6,3,4,1,-3,1,-3,0.029,0.016,-142,0.09,-0.52,0.61,2,-38,-6,0,-3,-1,14,9,16,8,8,2,0,-1,0.028,5,-1,0,-3,0.119,-1,0,0,-1,-0.008,-1,-1,0,1,-0.026
0,-1,NSH,ANA,2016,7,4,-0.11,-0.31,0.2,3.4,6,3,5.6,-0.3,0.2,-0.5,3.2,0.023,0.183,0.019,0,5,0,1,-2,-1,6,0.023,0.063,213,0.19,0.89,-0.7,1,57,13,-1,2,2,5,-16,-8,15,0,0,0,0,0,4,-1,0,1,0.018,-2,-4,0,-1,-0.011,0,-3,0,-3,0.039
1,1,TBL,PIT,2016,7,2,0.21,0.02,0.19,2.6,0.3,3.2,1.9,3.9,0.8,3.1,0.7,-0.015,0.171,-0.04,0,0,2,-2,-6,3,-7,0.016,0.111,-116,-0.5,-0.22,-0.28,-4,6,-14,0,-4,-1,1,20,24,-9,1,-3,0,0,0.117,4,-3,0,0,0.079,4,0,0,1,0.095,3,1,0,3,0.08
1,1,NSH,SJS,2016,2,2,0.16,-0.08,0.24,2.9,-0.7,1.1,-1,-0.2,0.1,-0.3,2,0.109,-0.192,0.113,-1,1,5,-1,6,-2,-2,0.17,-0.042,-83,0.13,-0.29,0.42,2,-22,1,-1,-3,-1,0,5,2,-2,2,0,0,-6,0.165,2,-1,0,-2,0.094,1,1,0,0,0.019,1,-1,0,-2,0.046
1,1,CHI,STL,2016,4,0,-0.18,-0.12,-0.06,-1.1,4.9,-2,2,-0.3,-1.1,0.8,2,0.143,-0.097,-0.052,8,0,-6,-3,3,-2,-9,-0.047,0.24,250,0.14,0.98,-0.84,-8,71,16,-1,4,2,-12,-8,-3,11,-12,0,0,0,-0.075,-9,1,0,1,-0.078,7,-3,0,1,0.259,4,-1,0,3,0.108
1,2,SJS,PIT,2016,6,1,0.05,-0.09,0.14,-4.2,3.9,-3.5,5.6,2.8,2.3,0.5,-0.5,0.02,0.1,-0.013,4,-1,-1,0,-4,0,-6,-0.003,0.118,-34,-0.23,0.31,-0.54,-7,57,-22,0,-2,0,-8,8,31,-2,-5,-2,0,0,0.047,11,0,0,-2,0.067,3,0,0,1,0.065,-1,1,0,1,-0.04
1,2,PHI,WSH,2016,24,17,0.45,-0.23,0.68,3,4.7,3.8,4.2,-0.4,-2.3,1.9,-1.4,0.159,0.23,0.212,6,1,8,-1,-5,-3,0,0.237,0.136,-213,-0.71,-0.48,-0.23,2,-25,-7,-2,-9,-1,5,-3,13,-12,8,-3,0,0,0.19,9,-1,0,-1,0.071,8,-6,0,-2,0.32,2,-12,0,-2,0.171
1,2,MIN,DAL,2016,22,8,0.63,0.29,0.34,3.6,4.4,0.2,4.9,3,0.3,2.7,-2.3,0.198,0.233,-0.05,2,7,3,-12,-2,4,-5,0.039,0.324,174,0.13,0.72,-0.59,-1,45,12,0,1,2,9,10,15,3,3,-2,0,-1,0.104,9,-2,0,1,0.054,6,-6,0,0,0.273,4,-5,0,-1,0.142
1,3,NYI,TBL,2016,-3,2,-0.04,-0.16,0.12,-2.5,-0.4,-2.4,-0.7,-0.1,-1.5,1.4,-0.6,0.015,-0.071,0.088,0,1,0,4,4,-4,3,0.088,-0.101,91,0.79,0.45,0.34,-5,38,-1,0,3,0,-7,-11,10,-2,-3,3,0,-2,-0.054,6,1,0,-2,0.042,-4,2,0,-2,-0.107,-5,-2,0,-5,-0.113
1,3,DET,TBL,2016,4,6,0.18,-0.26,0.44,-3,2.5,-4,4.5,-0.4,-0.8,0.4,-1,0.009,-0.042,0.307,-6,1,10,1,3,-3,-1,0.062,0.073,85,0.44,0.02,0.41,-5,-15,15,0,3,2,4,-13,9,8,2,2,0,-1,-0.018,13,1,0,-7,0.211,0,-3,0,-1,0.036,-5,-2,0,0,-0.146
1,3,NYR,PIT,2016,3,-1,0.1,-0.19,0.29,-0.2,6.2,0.1,9.3,4.7,-0.7,5.4,1,0.012,0,0.052,1,0,1,1,0,-2,-6,0.044,0.067,-11,0.48,0.22,0.26,0,29,-7,-1,-2,0,-10,15,35,-6,-5,-1,0,-3,0.103,11,-2,0,-2,0.125,1,4,0,1,-0.046,1,1,0,2,0.013
0,-2,CHI,TBL,2015,6,7,0.48,0.24,0.24,1.2,0.3,1.8,1.6,-4.3,-2.3,-2,-2.4,-0.009,-0.064,0.095,-3,7,-2,-4,5,-5,0,0,0.056,216,0.64,1,-0.36,-4,74,8,0,4,0,-1,-3,23,18,-1,-1,0,3,-0.064,8,0,0,2,-0.057,1,-5,0,0,0.117,-3,3,0,0,-0.116
0,-2,TBL,MTL,2015,2,-6,-0.55,-0.27,-0.28,-2.3,0,-1.9,0,-1.1,2.2,-3.3,2.4,0.028,0.101,-0.115,1,0,-1,-3,-3,4,-7,0.06,0.002,21,-0.63,-0.11,-0.52,-3,-11,5,0,-2,4,-29,-3,-6,-16,-10,1,0,0,-0.119,-1,2,0,1,-0.078,3,7,0,2,-0.066,3,-2,0,-1,0.116
0,-2,MIN,STL,2015,9,-1,0.14,-0.01,0.15,6.4,-2.6,5.7,-3.6,0.1,-0.4,0.5,3.5,0.153,0.007,0.052,5,-2,5,0,-2,1,5,0.173,-0.022,180,0.01,0.29,-0.28,-4,-5,24,0,6,2,-3,-10,12,8,6,2,0,1,-0.074,6,1,0,0,0.003,-2,5,0,-2,-0.102,-4,-4,0,-1,-0.041
0,-2,CHI,NSH,2015,2,-3,0.08,0.19,-0.11,-1.4,-2.6,-0.6,-2.3,-2,-1.9,-0.1,-3.2,0.101,-0.367,-0.013,8,-2,-7,-6,7,-4,-8,-0.05,0.094,107,0.06,0.37,-0.31,-8,34,1,0,5,0,-9,-6,11,8,-6,0,0,4,-0.156,2,3,0,5,-0.229,-1,3,0,1,-0.073,0,2,0,0,-0.017
0,-2,CGY,VAN,2015,4,4,-0.01,0.08,-0.09,0.5,5,0.8,4.1,2.4,0.6,1.8,-0.8,0.13,-0.258,0.008,7,-4,-1,-4,3,-1,13,-0.102,0.11,74,0.06,0.34,-0.29,0,33,-8,0,5,0,21,-11,-2,6,4,6,0,2,-0.222,1,2,0,3,-0.142,-5,-5,0,-1,-0.012,-5,-2,0,-4,-0.077
0,-1,TBL,NYR,2015,5,0,-0.14,-0.23,0.09,-2,0.6,-2.5,1.7,1.9,1.6,0.3,-3,0.104,0.031,-0.053,5,-4,2,-2,-3,3,3,0.076,-0.053,-100,-0.99,-0.61,-0.38,-1,-47,-2,1,-2,1,11,-4,-9,-14,4,0,0,0,0.02,3,0,0,-1,0.03,0,-3,0,0,0.079,3,-7,0,-1,0.171
0,-1,CHI,ANA,2015,7,-1,0.1,0.43,-0.33,-1.9,-2.4,-1.7,-0.5,-3.9,-1.3,-2.6,-0.4,0.268,-0.283,-0.165,11,-2,-6,-12,4,4,1,0.005,0.068,291,0.02,1.09,-1.07,-8,72,21,0,6,0,-13,-10,14,36,0,0,0,3,-0.084,5,0,0,2,-0.062,0,-1,0,0,0.014,6,5,0,-2,0.112
1,1,WSH,NYR,2015,12,8,0.13,-0.15,0.28,-8.5,3.1,-9.4,5.4,2,0.6,1.4,-4.6,-0.078,0.292,0.084,2,4,-1,3,-5,-5,14,0.066,-0.083,-180,-0.46,-0.8,0.34,-8,-45,-10,1,-4,0,33,-10,-21,-13,12,-2,0,2,0.08,6,-1,0,-2,0.091,-1,-9,0,-1,0.167,1,-9,0,0,0.114
1,1,DET,TBL,2015,8,11,0.34,-0.06,0.4,-5,2.8,-4.4,4.5,0,-0.4,0.4,-1.8,0.016,0.057,0.072,-2,3,3,-3,0,-1,1,-0.017,0.12,84,0.59,0.53,0.06,2,43,-2,0,3,-2,8,7,12,3,-2,-1,0,1,-0.011,5,-2,0,0,0.068,3,-4,0,-2,0.194,-5,0,0,-1,-0.135
1,1,NYI,WSH,2015,0,1,-0.1,-0.3,0.2,6.6,3.2,6,0.1,-4.3,0.6,-4.9,2.1,0.253,-0.181,-0.207,1,-4,6,-10,2,11,-8,-0.089,0.242,35,-0.16,0.03,-0.19,11,-15,1,0,2,2,-16,4,8,7,-9,2,0,-1,-0.094,-5,-1,0,0,0.007,5,2,0,-3,0.159,3,5,0,-2,0.085
1,2,OTT,MTL,2015,11,7,-0.22,-0.3,0.08,-0.3,0.8,0.9,1.2,-2.5,-2,-0.5,3.9,0.099,0.174,-0.057,-1,5,3,-6,-2,4,-7,0.234,-0.025,-6,-0.55,-0.01,-0.54,-3,4,-4,-1,-2,4,-13,2,-3,-17,-1,-2,0,1,0.018,9,0,0,0,0.044,0,11,0,0,-0.195,-3,2,0,-3,-0.069
1,3,CGY,ANA,2015,12,3,-0.11,0.1,-0.21,-3.1,0.3,-4.5,0.4,2.5,-0.3,2.8,4.2,0.33,-0.226,-0.159,14,-4,-4,-13,2,5,11,0.072,-0.006,261,-0.08,1.18,-1.26,-4,88,11,0,5,-1,7,-19,-1,26,10,1,0,3,-0.076,6,-1,0,1,0.015,-6,0,0,-2,-0.115,2,3,0,-4,0.049
1,3,PIT,NYR,2015,15,10,0.37,-0.21,0.58,-2.5,-0.5,-0.8,1.1,-0.1,0.2,-0.3,-2.4,0.117,0.096,0.155,7,-2,5,3,-4,-4,0,0.164,0.061,-411,-1.17,-1.46,0.29,-4,-90,-13,1,-15,-2,7,-1,6,1,4,-3,0,-1,0.118,6,-2,0,-1,0.091,4,-9,0,-4,0.34,6,-4,0,-4,0.286
1,4,MIN,CHI,2015,2,-2,-0.09,-0.14,0.05,1.7,-2.9,0.3,-3.2,3.1,2.6,0.5,2.2,0.049,0.174,0.022,2,-3,6,6,-6,3,5,0.151,-0.078,-128,-0.4,-0.95,0.55,2,-92,8,0,0,1,15,-3,-24,-5,11,1,0,0,0.015,-1,-1,0,-4,0.161,-3,4,0,-1,-0.131,-5,-1,0,-1,-0.102
1,4,WPG,ANA,2015,10,3,0.06,0.21,-0.15,-2.1,-0.8,-2.8,-0.8,0.3,0.2,0.1,2.8,0.318,-0.171,-0.09,14,-5,-1,-6,0,4,-3,0.106,0.116,-181,-0.72,-0.88,0.15,-2,-70,3,0,-4,-1,-13,-4,-5,27,3,-2,0,-3,0.137,0,-2,0,-4,0.149,2,2,0,0,0.04,11,3,0,-4,0.303
0,-4,MTL,TBL,2014,1,-1,0.28,0.1,0.18,1.3,-4.4,1.3,-2.8,1.4,-1.8,3.2,-0.4,-0.037,0.062,-0.02,-2,4,-2,0,0,-1,-2,-0.078,0.116,-219,-0.64,-0.71,0.06,3,-40,-11,0,-7,-2,-6,2,30,8,-5,1,0,1,-0.101,-7,3,0,-1,-0.073,-2,4,0,-3,-0.086,2,-4,0,-3,0.095
0,-2,NYR,MTL,2014,0,-1,0.14,0.4,-0.26,2.1,2,1.3,2.4,-3.2,4.8,-8,-3.2,0.049,0.109,-0.18,1,0,-1,-3,-3,6,-7,0.13,-0.09,187,0.44,0.31,0.13,6,-7,15,1,7,3,2,4,6,16,0,-2,0,0,0.054,8,-3,0,3,0.021,0,-4,0,3,0.013,-3,3,0,1,-0.103
0,-1,LAK,CHI,2014,7,5,0.77,0.54,0.23,4.4,-1.6,4.1,0.3,1.5,1,0.5,-0.8,-0.063,0.032,0.05,-4,0,4,-6,-1,0,-9,0.099,-0.025,-177,-0.68,-0.99,0.31,6,-79,-11,0,2,0,2,15,47,12,0,-3,0,0,0.085,6,-1,0,3,-0.032,0,1,0,3,-0.042,-1,-6,0,2,0
0,-1,MTL,BOS,2014,17,14,0.6,-0.36,0.96,4.5,-1.4,4.8,-0.1,3.5,-1.9,5.4,2,-0.052,-0.056,0.347,-6,1,13,-3,2,-8,4,0.015,0.151,-177,-1.06,-0.61,-0.45,-4,-39,3,0,-7,-4,3,-9,18,-5,0,2,0,-1,-0.028,6,2,0,-1,-0.01,0,-3,0,-1,0.067,4,-11,0,-1,0.207
0,-1,NYR,PIT,2014,13,1,0.34,0.17,0.17,5.2,-0.3,5.7,-3.1,-3.3,-0.6,-2.7,2.2,0.102,0.186,0.018,6,-3,3,-3,-5,1,6,0.025,0.05,15,0.05,0.17,-0.12,3,14,1,2,-5,1,8,-2,8,-2,5,-2,0,-1,0.124,3,2,0,0,-0.042,1,-5,0,2,0.068,0,-6,0,0,0.041
0,-1,MIN,COL,2014,14,5,0.56,0.22,0.34,1.9,1.9,4.7,1.5,2.9,5,-2.1,-1.4,0.142,0.019,0.107,4,4,1,-3,2,-4,3,0.084,0.105,108,0.06,0.06,0,4,-16,4,0,9,3,6,-6,34,14,7,2,0,-2,0.049,8,-1,0,-1,0.077,2,-2,0,-4,0.142,0,-5,0,-2,0.054
0,-1,CHI,STL,2014,4,1,-0.27,-0.3,0.03,0.3,4.2,0.6,2.6,-3.8,-0.8,-3,-0.1,0.242,-0.073,-0.114,7,-4,3,-3,-1,6,7,0.049,0.005,463,1.23,1.55,-0.32,-1,93,17,0,17,3,0,-1,-19,-8,5,0,0,1,-0.004,0,-2,0,1,0.024,0,-1,0,-1,0.019,0,4,0,-3,-0.008
0,-1,LAK,SJS,2014,11,3,0.5,0.3,0.2,2.1,1.8,2.1,3.8,3.2,1.6,1.6,0,0.103,0.088,-0.046,5,-3,3,-5,-4,3,-4,0.079,0.079,-139,-0.04,-1.02,0.98,2,-91,3,0,1,1,17,-2,26,18,4,-2,0,4,-0.017,10,-1,0,2,0.002,7,-6,0,0,0.292,-2,-4,0,-2,-0.018
0,-1,LAK,ANA,2014,16,10,0.8,0.43,0.37,0.9,-0.9,0.1,1.1,-0.3,2.5,-2.8,-3.6,0.204,-0.167,0.069,6,-4,6,-10,2,0,-10,0.046,0.242,18,0.09,-0.16,0.25,3,-30,12,0,1,0,9,20,48,12,3,-1,0,0,0.046,13,-2,0,2,0.03,6,-3,0,1,0.189,0,-5,0,-2,0.061
1,1,CBJ,PIT,2014,16,5,0.19,-0.12,0.31,4.1,2.9,4.8,1.2,0.3,-2,2.3,-0.6,0.061,0.289,0.242,2,0,10,5,-6,-3,-6,0.161,0.087,107,0.59,0.13,0.47,-3,-13,19,2,2,1,-5,0,18,2,3,-1,0,-7,0.226,6,0,0,-5,0.147,-1,-1,0,0,-0.015,3,0,0,0,0.113
1,1,PHI,NYR,2014,2,4,-0.23,-0.45,0.22,-1.5,0.5,-0.5,2.4,2.8,-1.2,4,-1.2,-0.027,0.076,0.098,0,2,1,6,-1,-4,-1,0.072,0.016,-363,-0.42,-1.24,0.82,-1,-73,-19,-1,-7,-4,0,3,-1,-12,-1,-1,0,0,0.019,-1,-1,0,-2,0.074,-2,0,0,-3,-0.026,-2,1,0,0,-0.059
1,2,MIN,CHI,2014,9,7,0.75,0.18,0.57,1.6,2.7,2.4,4.7,6.5,-0.5,7,1.1,-0.133,0.011,0.333,-7,2,8,1,1,-8,1,0.053,0.008,-84,-0.22,-0.36,0.14,2,-22,-12,-1,3,-1,6,5,47,-1,3,0,0,-2,0.083,6,1,0,-1,0.024,1,2,0,-1,0.023,-3,-8,0,0,-0.022
1,2,DAL,ANA,2014,25,10,0.39,-0.24,0.63,0.1,0.8,-1,1.5,-0.4,-1.7,1.3,-0.9,0.235,0.079,0.175,11,2,1,-4,0,-7,-1,0.087,0.267,-6,-0.1,0.03,-0.12,-1,-4,14,0,-6,-1,1,3,15,-12,3,-1,0,0,0.046,11,0,0,-1,0.051,7,-7,0,-2,0.283,4,-7,0,-5,0.196
1,3,NYR,LAK,2014,4,-5,-0.2,-0.27,0.07,-3.1,-2.2,-2.5,-4.9,-1.6,-3.2,1.6,4,0.029,-0.053,0.085,4,-1,-2,0,1,-4,14,-0.124,0.015,59,-0.03,0.56,-0.59,-1,54,1,0,-4,-1,6,-11,-23,-14,3,1,0,0,-0.002,-1,2,0,-2,-0.003,0,-3,0,1,0.023,1,-2,0,1,0.033
1,3,DET,BOS,2014,24,17,0.5,-0.61,1.11,4,0.6,3.1,3,1.9,-0.2,2.1,0.8,0.028,0.132,0.237,0,2,9,-4,-3,-6,8,0.252,0.028,-24,-0.62,-0.21,-0.41,1,-22,6,1,-1,-2,-3,-9,10,-3,1,0,0,-2,0.06,12,0,0,-2,0.082,3,-6,0,3,0.177,5,-10,0,3,0.224
0,-2,LAK,NJD,2012,7,1,0.34,0.43,-0.09,0.2,2.6,-3.9,5.3,-3.1,-0.6,-2.5,-4.4,0.173,-0.111,0.074,2,-1,8,-2,3,1,-10,0.144,0.197,178,-0.03,0.12,-0.15,1,-33,30,-1,7,4,1,8,14,-1,0,3,0,-2,-0.031,1,2,0,-3,0.029,8,2,0,-2,0.274,4,-1,0,-2,0.147
0,-2,NJD,NYR,2012,7,7,0.08,-0.28,0.36,-1.5,-3.4,1.9,-6.2,1,1,0,2.9,0.093,0.15,-0.155,2,3,-3,-7,-3,5,8,-0.043,0.004,-42,0.57,0.01,0.56,3,5,0,1,-5,-3,2,-6,-6,10,1,-2,0,2,0.009,1,-2,0,0,0.056,-4,-2,0,1,-0.099,0,-3,0,0,0.023
0,-3,LAK,PHX,2012,2,2,0.27,0.3,-0.03,-3.4,-1.5,-5.1,-2.1,-1,4.2,-5.2,-1.3,0.045,0.175,-0.148,0,0,2,-3,-4,7,-3,0.05,0.037,-166,-0.59,-0.63,0.04,6,-47,-8,-1,-2,-1,7,17,5,12,2,0,0,-1,0.046,5,1,0,-6,0.147,1,6,0,-2,0.019,3,0,0,2,0.091
1,1,WSH,NYR,2012,17,8,0.05,-0.54,0.59,-1,4.6,1.6,6.5,0.5,-2.4,2.9,0,0.174,0.275,-0.044,3,7,0,-6,-3,2,4,0.193,0.014,-86,0.49,-0.49,0.98,-5,-41,10,1,-5,-1,-2,-18,11,-15,-2,2,0,-1,-0.043,5,0,0,2,-0.053,-3,-9,0,2,-0.004,-2,-8,0,-1,0.008
0,-3,NJD,PHI,2012,1,5,0.54,0.24,0.3,2.5,-7.8,4.6,-11.7,4.7,1.6,3.1,1.2,0.098,-0.184,-0.074,6,-4,-4,-7,3,1,1,-0.104,0.031,217,1.51,1.08,0.43,5,88,-7,0,8,-3,17,23,11,11,6,-3,0,1,0.098,4,0,0,-1,0.039,0,1,0,1,-0.028,0,0,0,1,-0.006
0,-4,LAK,STL,2012,14,11,0.22,-0.18,0.4,-0.3,-1.2,-0.7,-1.8,0,-0.7,0.7,-1.1,0.156,-0.066,0.106,3,1,5,-7,3,-1,-1,0.039,0.211,139,0.22,0.43,-0.21,5,14,11,-1,3,3,13,-5,-9,-4,4,4,0,-1,-0.05,6,2,0,-4,0.071,1,-4,0,-3,0.139,3,-9,0,-1,0.173
1,3,NSH,PHX,2012,-7,-7,-0.27,-0.13,-0.14,-8,1.9,-8.8,2.3,2,0.8,1.2,1.2,-0.111,-0.056,0.039,-3,-5,2,1,0,0,1,-0.066,-0.094,68,0.28,0.34,-0.06,3,22,6,0,1,-2,-5,-7,6,18,0,0,0,-1,0.031,3,-1,0,-3,0.114,-3,-1,0,-2,-0.077,-3,2,0,5,-0.13
1,1,OTT,NYR,2012,17,9,-0.25,-0.66,0.41,-2.5,4.6,-1.3,4.7,-2.9,-4.2,1.3,-0.1,0.108,0.003,0.172,2,2,5,-4,1,-5,2,0.128,0.07,292,1.39,0.65,0.73,-1,11,38,1,5,1,-4,-25,6,-7,5,0,0,-1,0.082,7,-2,0,1,0.057,-6,-6,0,1,-0.089,-2,-9,0,0,0.008
0,-1,WSH,BOS,2012,10,7,0.51,-0.33,0.84,0.5,1.9,4.1,3.8,4.4,-0.4,4.8,4.5,0.187,0.19,-0.13,6,7,-6,-4,0,1,5,0.108,0.024,-201,-0.39,-1.02,0.63,-2,-70,-13,0,2,-1,13,0,8,-20,0,1,0,-4,0.099,7,0,0,-1,0.038,-1,-2,0,0,-0.004,0,-4,0,0,0.026
0,-1,NJD,FLA,2012,-8,-1,-0.23,0.13,-0.36,1.3,-10.1,4,-14.2,2.2,3.7,-1.5,3.5,-0.118,0.184,-0.393,-2,3,-12,-7,-4,8,3,-0.22,-0.089,-309,-0.2,-0.87,0.67,11,-39,-33,1,-9,-1,1,9,-14,11,-4,-3,0,5,-0.102,-5,-1,0,5,-0.126,-3,4,0,4,-0.159,-1,2,0,1,-0.047
0,-2,PHI,PIT,2012,5,3,0.16,-0.08,0.24,0,6,-0.7,8.2,1.7,-1,2.7,2.1,-0.11,0.249,0.111,-8,7,5,4,-3,-2,10,-0.012,0.035,-438,-1.2,-1.22,0.01,-3,-55,-26,0,-17,-1,6,-18,-11,7,-2,4,0,2,-0.161,-1,-2,0,1,0.022,-1,-2,0,-2,0.034,3,-2,0,0,0.097
0,-3,LAK,VAN,2012,16,5,0.65,0.26,0.39,2.8,-1,2.1,-1.6,0.9,3.4,-2.5,0.7,0.23,-0.156,0.064,10,-6,7,-5,-1,1,10,0.033,0.152,126,0.18,0.19,-0.01,2,-2,6,-1,9,2,27,-1,1,19,9,2,0,0,0.006,4,1,0,-4,0.09,4,-8,0,0,0.318,3,-6,0,3,0.116
1,3,SJS,STL,2012,13,11,-0.16,-0.61,0.45,-4.4,8.9,-4,10.1,-3.2,-1.9,-1.3,-2.9,0.037,0.016,0.173,-2,3,5,-6,2,-3,8,-0.001,0.072,277,0.47,1.24,-0.78,-1,88,11,0,1,4,9,-25,-25,-13,9,4,0,0,-0.039,5,1,0,-2,0.042,-5,-8,0,-2,-0.046,-2,-12,0,-1,0.035
