W/L,Win_Margin,Away,Home,Year,Point_Differential,RW,GF/GP,GA/GP,Total_goal_differential,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,Shot_Differential,FOW%,Win% 1 Goal Game,Win% 2 Goal Game,Win% 3 Goal Game,Wins 1 Goal Game,Wins 2 Goal Game,Wins 3 Goal Game,Loss 1 Goal Game,Loss 2 Goal Game,Loss 3 Goal Game,SF GP,W% SF,W% TF,PIM,Pen Drawn/60,Pen Taken/60,Net Pen/60,Bench,Minor,Major,Match,Msct,G Msct,GF in P1,GA in P1,GF in P2,GA in P2,Wins Lead 1P,Loss Lead 1P,Ties Lead 1P,OT Loss Lead 1P,Win% Lead 1P,Wins Lead 2P,Loss Lead 2P,Ties Lead 2P,OT Loss Lead 2P,Win% Lead 2P,Wins Trail 1P,Loss Trail 1P,Ties Trail 1P,OT Loss Trail 1P,Win% Trail 1P,Wins Trail 2P,Loss Trail 2P,Ties Trail 2P,OT Loss Trail 2P,Win% Trail 2P
1,2,CHI,PHX,2012,-4,-1,-0.38,-0.45,0.07,-1.6,7.4,-2.9,6.9,-1.9,3,-4.9,-0.4,-0.149,0.331,-0.044,-5,6,-4,5,-3,-1,7,0.045,-0.182,-91,-0.4,0.13,-0.54,-1,34,-15,0,-6,-1,-5,-6,-11,-13,0,0,0,-1,0.031,2,0,0,-3,0.085,-8,6,0,-4,-0.249,-2,-1,0,0,-0.047
1,3,DET,NSH,2012,2,4,-0.08,0.06,-0.14,5.5,1.8,7.6,3.2,-4.6,3.8,-8.4,-2.6,0.013,0.242,-0.199,0,7,-7,-3,-3,4,-2,0.106,-0.096,-10,-0.64,-0.27,-0.37,-6,-24,4,0,3,0,-11,1,-2,-13,-4,-1,0,1,-0.024,3,1,0,2,-0.074,-4,2,0,1,-0.126,2,-3,0,-3,0.098
0,-1,BOS,VAN,2011,14,3,0.17,-0.1,0.27,8.1,3,9.4,0.7,-0.9,-2.6,1.7,3,0.072,0.238,0.028,3,5,0,0,-5,-1,7,0.123,-0.006,-172,-0.08,0.08,-0.16,0,56,-42,-1,-1,-5,-4,-9,9,0,8,-2,0,-1,0.114,8,-2,0,1,0.045,0,-5,0,1,0.045,0,-3,0,-2,0.046
1,1,TBL,BOS,2011,0,11,0.04,-0.55,0.59,-4.3,-1.2,-1.5,2.7,1.1,4,-2.9,1.5,-0.09,-0.257,0.279,-7,-1,8,0,7,-7,-9,0.087,-0.052,210,-0.18,0.1,-0.29,-7,-43,50,1,-1,6,-8,-21,-12,7,3,2,0,-4,0.076,-4,0,0,-1,0.01,-3,2,0,1,-0.143,1,-3,0,4,0.025
1,3,SJS,VAN,2011,12,8,0.19,-0.34,0.53,0.8,6,2.6,5.7,-2.5,1.2,-3.7,1.2,0.005,0.067,0.154,-2,4,4,-2,0,-4,6,0.093,-0.016,12,0.06,0.4,-0.34,0,49,-18,0,1,0,1,-23,-10,7,15,-3,0,1,0.141,9,-4,0,0,0.121,-3,-3,0,1,-0.083,2,-2,0,0,0.095
0,-4,TBL,WSH,2011,4,2,-0.27,-0.52,0.25,-3,1.8,-0.2,3.9,-0.5,0.3,-0.8,1.3,0.004,-0.162,0.174,3,-3,2,2,2,-6,-16,0.087,0.037,21,-0.71,-0.06,-0.66,-2,-21,23,0,-6,1,-28,-12,-11,-1,0,-1,0,-1,0.054,-5,-2,0,0,0.034,8,-1,0,1,0.184,4,-1,0,3,0.1
0,-4,BOS,PHI,2011,3,-2,0.14,0.33,-0.19,0.4,0.2,0.6,0.1,-1.1,-2.6,1.5,-1.6,0.017,0.16,-0.074,4,-3,0,2,-7,3,8,-0.034,0.006,4,0.21,0.38,-0.17,-1,56,-24,0,4,-3,2,8,19,-8,1,1,0,2,-0.065,8,-1,0,3,-0.018,4,-3,0,1,0.158,-4,0,0,0,-0.147
1,2,NSH,VAN,2011,18,10,0.55,-0.12,0.67,9.1,0.7,9.2,0.7,3.2,-0.5,3.7,4.7,0.081,0.214,0.114,1,8,1,-3,-1,-4,6,0.139,0.035,223,0.75,0.85,-0.1,-8,61,11,0,6,0,-3,-7,22,18,7,-2,0,-6,0.22,7,-3,0,-2,0.132,-4,-2,0,3,-0.165,-1,-3,0,3,-0.035
1,1,DET,SJS,2011,1,4,-0.17,-0.35,0.18,1.2,-2.7,1.2,-2.2,0.9,-1.8,2.7,1.8,-0.015,-0.09,0.135,0,-3,4,2,1,-3,2,0.012,-0.005,177,0.37,0.34,0.03,2,-12,35,0,2,1,-6,-19,5,-11,-3,2,0,-2,-0.027,1,4,0,-1,-0.069,-3,-5,0,-2,0.005,-5,-8,0,-1,-0.086
1,3,NYR,WSH,2011,14,2,-0.06,-0.05,-0.01,0.6,1.9,0.4,0.1,1.4,-0.4,1.8,4,0.027,0.203,-0.031,5,1,-2,-4,-6,0,-6,0.031,0.099,-148,-0.94,-0.15,-0.79,3,13,-16,0,-11,0,-5,7,-1,-9,4,-3,0,3,0.039,0,0,0,3,-0.094,7,-2,0,2,0.153,0,-6,0,0,0.045
1,1,BUF,PHI,2011,10,13,0.19,-0.15,0.34,-2.8,-0.2,0.2,3.2,-1,-0.6,-0.4,2.6,0.011,-0.031,0.167,-1,-5,10,-4,-2,0,11,0.013,0.011,161,0.39,0.22,0.17,-4,-6,19,1,3,4,7,-6,8,-15,5,-1,0,1,0.045,13,-1,0,2,0.031,-3,-1,0,0,-0.059,-4,-8,0,4,-0.122
1,1,MTL,BOS,2011,7,7,0.38,-0.21,0.59,-3.5,-1.8,-3.3,0.9,1.2,1.7,-0.5,2.9,-0.123,-0.124,0.308,-3,-2,7,2,3,-10,-2,-0.013,0.084,18,-0.12,-0.53,0.41,-9,-71,37,1,-6,4,8,-13,-11,11,-1,2,0,-1,-0.033,0,1,0,-3,0.049,0,-8,0,2,0.042,4,-11,0,3,0.159
0,-1,TBL,PIT,2011,3,2,-0.16,-0.46,0.3,-4.7,2.3,-2,6,-0.3,0,-0.3,-1.2,0.039,-0.195,0.159,1,-4,6,1,2,-3,-9,0.135,-0.027,483,0.82,1.2,-0.39,-4,39,51,1,5,9,-15,-14,4,-4,2,2,0,-4,0.069,-2,1,0,-2,0.017,3,0,0,-1,0.102,-4,0,0,0,-0.167
1,1,VAN,CHI,2011,20,12,0.08,-0.48,0.56,1.2,6.4,2,5.9,-0.2,1.4,-1.6,4.1,0.122,0.164,0.061,3,4,3,-6,-3,-1,2,0.156,0.051,201,0.58,1.01,-0.43,-6,83,1,0,4,1,-15,-20,-5,11,6,-6,0,-2,0.211,5,-4,0,0,0.102,-3,-2,0,1,-0.098,3,-2,0,0,0.138
1,2,LAK,SJS,2011,7,3,0.41,0.15,0.26,7.4,-5.9,7.1,-5.2,5.7,1,4.7,2.6,-0.057,0.147,0.044,-1,-1,4,0,-6,1,-7,0.024,0.097,-31,0,-0.02,0.01,-7,12,-3,0,-2,-1,2,8,24,-7,-2,0,0,-2,0.042,3,4,0,2,-0.157,2,0,0,1,0.055,-1,-6,0,1,-0.005
1,4,PHX,DET,2011,5,-2,0.37,0.21,0.16,6.4,3.9,6.1,3.9,3.3,-1.9,5.2,0.4,0.053,0.112,-0.02,0,4,0,-1,-1,1,-1,-0.006,0.115,-109,-0.08,-0.43,0.34,-3,-20,-9,0,-4,1,17,21,8,2,2,1,0,-3,0.08,-4,-2,0,2,-0.014,1,4,0,3,-0.062,1,3,0,0,0.003
0,-2,NSH,ANA,2011,0,-2,0.27,0.52,-0.25,8.3,-3.6,6.6,-3.2,-0.3,1.7,-2,-2.5,0.197,0.136,-0.248,11,0,-8,0,-3,6,3,0.041,0.002,458,1.01,1.21,-0.21,-3,43,48,0,12,1,-4,21,20,28,0,-1,0,-7,0.199,-1,-2,0,-3,0.114,0,7,0,1,-0.114,-3,6,0,1,-0.158
1,2,PHI,CHI,2010,24,2,0.37,-0.23,0.6,-3.8,2.3,-2.6,5.4,2.5,-3.5,6,2.3,0.075,0.04,0.254,6,-1,6,-2,-3,-8,7,0.041,0.22,-438,-1.15,-1.79,0.63,2,-102,-42,0,-2,-1,21,-12,-5,6,8,2,0,4,-0.072,5,0,0,0,0.015,-2,-9,0,-1,0.105,4,-8,0,0,0.169
1,3,MTL,PHI,2010,0,11,0.27,0.05,0.22,-0.3,0,0.1,0.6,3,-3.5,6.5,0.4,0.045,-0.111,0.067,-3,-3,8,-3,1,4,10,-0.045,-0.014,426,1.43,1.19,0.24,-2,37,48,1,7,4,11,-9,12,5,3,-4,0,-1,0.153,4,-1,0,0,0.043,-4,-2,0,-5,-0.026,-1,1,0,-3,-0.021
0,-4,CHI,SJS,2010,1,6,-0.07,0.07,-0.14,3.3,-0.3,1.8,-2.7,-2.4,6.3,-8.7,3.2,-0.034,0.304,-0.154,-3,5,-3,-3,-4,5,-17,0.081,0.003,231,0.44,1.13,-0.68,1,74,19,-1,0,0,-23,6,15,2,-7,-5,0,-2,0.107,1,-1,0,2,-0.019,4,5,0,1,0.006,-2,0,0,2,-0.077
0,-1,MTL,PIT,2010,13,9,0.48,0.21,0.27,-4.6,1.1,-4.1,2,4.2,-3.4,7.6,-0.4,0.186,-0.045,0.031,5,-5,8,-7,-4,6,2,-0.035,0.207,259,1.13,0.68,0.45,-2,26,19,0,9,3,18,-5,12,14,1,-5,0,0,0.136,2,1,0,-1,0.009,-5,-4,0,-4,-0.045,4,-2,0,-2,0.121
0,-1,PHI,BOS,2010,3,-10,-0.44,-0.38,-0.06,-4.9,3.4,-3.8,3.8,0.1,1.2,-1.1,2.5,-0.087,0.194,-0.025,2,0,-4,3,-6,-2,-9,0.027,0.02,-409,-1.46,-1.67,0.21,6,-102,-31,-1,-4,-2,-10,-8,-16,-5,-3,-1,0,2,-0.055,-8,3,0,-1,-0.096,0,4,0,2,-0.054,0,-3,0,2,0.003
1,3,DET,SJS,2010,11,10,0.41,0.03,0.38,1.8,1.1,-0.8,0.6,-1.7,2,-3.7,4.5,0.018,0.145,0.143,-3,1,9,-1,-3,0,-1,0.12,0.06,432,0.73,1.5,-0.77,1,76,38,0,6,3,1,-7,26,12,5,-4,0,-1,0.178,8,-2,0,1,0.054,-3,0,0,-4,-0.009,0,0,0,-5,0.031
1,2,VAN,CHI,2010,9,-4,-0.07,-0.18,0.11,-3.2,3.7,-2.8,5.8,3.2,-4.4,7.6,1,0.008,0,0.079,6,-3,0,1,-4,-3,17,-0.081,0.043,-345,-0.99,-1.34,0.34,4,-80,-25,0,-7,0,4,-33,8,11,4,2,0,5,-0.125,3,0,0,3,-0.073,-5,-9,0,-1,0.028,-4,-3,0,-2,-0.045
0,-1,MTL,WSH,2010,33,19,1.26,0.11,1.15,3.4,-4.2,3.9,-4.1,4.2,-1.2,5.4,1.8,0.033,0.423,0.286,0,2,13,-6,-9,-3,13,0.013,0.277,4,0.14,-0.26,0.39,2,-26,-8,0,5,5,33,-6,26,14,9,-2,0,2,0.085,6,-2,0,1,0.05,-3,-12,0,-4,0.165,4,-15,0,0,0.243
0,-3,PHI,NJD,2010,15,5,-0.2,-0.44,0.24,-2.8,-0.1,-2,1,-1.6,-1.6,0,-0.7,0.1,0.156,0.033,4,5,-2,-4,-1,-3,-3,0.066,0.147,-503,-1.47,-2.13,0.66,2,-138,-33,-1,-4,-1,-8,-7,-14,-7,4,-1,0,1,0.027,3,0,0,-2,0.061,2,0,0,1,0.041,1,-4,0,-1,0.054
0,-2,BOS,BUF,2010,9,10,0.43,0.12,0.31,1,0.2,1.5,-0.6,-0.1,1.6,-1.7,-4,0.112,-0.139,0.125,2,1,3,-5,5,-3,1,0.056,0.079,-35,0.48,0.15,0.33,-4,33,-21,0,1,1,7,9,11,-6,2,1,0,-2,0.047,8,-4,0,-2,0.214,0,-6,0,2,0.033,3,-1,0,0,0.091
1,2,OTT,PIT,2010,7,-1,0.36,0.03,0.33,0.3,-0.2,-0.8,0,3.1,0.2,2.9,0,-0.004,-0.282,0.218,5,-9,7,2,1,-7,0,-0.073,0.146,54,0.58,0.28,0.3,-7,32,-2,0,-2,3,13,-1,18,-9,-1,1,0,1,-0.071,0,2,0,2,-0.118,2,-5,0,0,0.107,5,-6,0,0,0.154
1,2,COL,SJS,2010,18,9,0.24,-0.23,0.47,2.9,4.8,2.9,4.7,3.8,-0.7,4.5,7.9,-0.007,0.447,0.052,-3,7,4,-4,-6,0,-1,0.145,0.06,128,0.12,0.56,-0.44,-4,48,-4,0,6,1,-8,-9,8,14,-2,-4,0,1,0.063,3,-4,0,1,0.073,1,-2,0,-3,0.095,1,0,0,1,0.025
1,2,NSH,CHI,2010,12,4,0.55,-0.22,0.77,1.3,8.2,2,11.1,3.5,-4.1,7.6,3.2,-0.076,-0.154,0.488,-5,-8,18,0,-2,-5,21,-0.086,0.058,214,0.49,0.57,-0.09,2,24,14,1,6,2,27,-9,8,11,7,5,0,6,-0.244,8,-3,0,3,0.026,-5,-1,0,-2,-0.091,5,0,0,0,0.174
1,2,LAK,VAN,2010,2,9,0.45,0.09,0.36,0,1.3,0.2,2.8,1.8,1.9,-0.1,0.8,-0.001,-0.071,0.159,-8,2,9,-2,5,-2,-7,0.056,0.086,290,0.77,0.84,-0.07,-4,35,24,1,9,1,26,29,-3,0,4,1,0,-1,0.024,3,1,0,-2,0.035,0,4,0,-2,-0.028,3,-2,0,0,0.079
0,-1,DET,PHX,2010,5,-2,-0.15,-0.13,-0.02,-4.5,0.6,-6.5,-1.4,-2.9,0.2,-3.1,-1.1,0.167,-0.088,0.018,6,-2,2,-1,1,1,4,0.189,-0.089,202,0.03,0.63,-0.6,2,31,14,0,4,3,-14,-16,1,3,5,-4,0,-5,0.315,5,-1,0,-2,0.093,-6,3,0,-1,-0.169,2,2,0,-4,0.065
0,-1,PIT,DET,2009,13,9,0.37,0.09,0.28,8.3,-4.4,10.8,-4.6,7.2,-2.6,9.8,6,0.135,-0.177,0.19,6,-3,4,-4,3,-5,3,0.13,0.004,-610,-0.62,-1.98,1.35,-6,-85,-64,-1,-9,-1,4,11,12,-14,7,-5,0,2,0.133,9,-1,0,1,0.052,1,0,0,2,-0.012,-3,-5,0,-2,0.009
1,4,CAR,PIT,2009,2,-2,0.27,0.14,0.13,-1.5,2.3,-2.7,1.6,-3.6,0.8,-4.4,-2.2,-0.165,0.232,0.06,-6,3,2,3,-5,-1,4,0.033,-0.08,632,0.34,2.29,-1.94,5,124,50,1,9,3,6,-6,3,5,0,-2,0,2,0,-6,0,0,3,-0.103,1,-7,0,-4,0.171,3,0,0,-1,0.074
1,3,CHI,DET,2009,8,6,0.35,0.38,-0.03,6.2,-2.3,6.8,-3.5,3.5,-0.9,4.4,7,0.198,-0.138,0.083,12,-7,0,0,0,-3,3,0.037,0.056,-333,-0.64,-0.63,-0.02,-7,8,-43,0,-10,-1,-6,1,18,4,1,-2,0,2,0.007,-1,0,0,2,-0.044,0,-2,0,-1,0.047,5,-1,0,-4,0.208
0,-1,CAR,BOS,2009,19,11,0.41,-0.38,0.79,4.9,2,5.1,1.9,-2.3,1.3,-3.6,-0.3,-0.141,0.246,0.395,-6,9,5,2,-3,-10,8,0.082,0.078,226,-0.25,0.69,-0.93,-2,31,20,0,8,0,18,-2,6,-20,8,-4,0,1,0.139,7,-1,0,1,0.023,2,-13,0,-1,0.268,-6,-10,0,1,-0.132
0,-1,PIT,WSH,2009,9,7,0.12,0.09,0.03,8,-2.1,8.4,-2.3,4.5,-0.8,5.3,2.6,0.109,0.144,-0.06,1,5,0,-4,-2,3,2,0.082,0.047,-393,-0.7,-1.07,0.37,-3,-32,-47,-1,-7,-1,11,12,-10,-8,11,-3,0,-1,0.178,8,0,0,-3,0.11,-1,3,0,0,-0.081,-7,-4,0,-1,-0.142
1,1,ANA,DET,2009,21,12,0.62,0.06,0.56,1.9,-1.4,3.4,-1.2,5.9,-2.8,8.7,5.3,0.085,0.009,0.27,8,-4,6,0,-4,-7,2,0.145,0.073,-297,-0.65,-0.79,0.13,-1,-28,-25,0,-11,-1,9,7,14,-19,7,-3,0,4,0.028,8,1,0,6,-0.153,8,-9,0,0,0.337,5,-7,0,-2,0.226
0,-2,CHI,VAN,2009,-4,1,-0.21,0.05,-0.26,-0.5,0.8,-0.2,-0.3,-4.2,0.6,-4.8,3.8,0.085,-0.067,-0.048,5,-1,-5,2,2,-1,4,-0.065,0.01,194,0.49,1.01,-0.52,0,72,10,0,1,0,-15,-6,1,12,0,2,0,0,-0.046,-5,-2,0,-1,0.055,-1,5,0,-2,-0.06,2,4,0,-2,0.054
1,4,MTL,BOS,2009,23,16,0.34,-0.61,0.95,4.3,0,5.1,-0.1,0.3,-0.9,1.2,0.1,-0.039,0.331,0.335,-2,11,3,2,-4,-9,9,0.012,0.225,-201,-1.07,-1,-0.07,3,-84,-1,0,-2,-1,10,-9,1,-18,3,2,0,1,-0.063,9,0,0,0,0.031,3,-14,0,1,0.285,-5,-14,0,3,-0.094
1,1,NYR,WSH,2009,13,10,0.83,0.34,0.49,11.3,-7.2,12.2,-8.2,1.1,-0.2,1.3,0.8,0.001,0.203,0.136,-5,6,6,-3,-3,0,2,0.082,0.073,-158,-0.79,0,-0.79,-2,38,-30,0,-8,0,28,15,8,7,16,-2,0,-1,0.224,6,1,0,-1,0.024,-2,1,0,-1,-0.052,-2,-3,0,-1,-0.032
0,-1,CAR,NJD,2009,9,1,0.02,-0.18,0.2,0.2,-0.5,1.3,0.5,0.3,0,0.3,0,0.12,-0.003,0.081,1,-1,6,-3,-1,1,5,0.2,-0.097,256,-0.25,0.85,-1.09,2,34,32,0,1,2,0,-10,1,-6,8,-4,0,1,0.139,8,-2,0,-1,0.09,2,-2,0,-4,0.112,-2,1,0,-3,-0.036
1,2,PHI,PIT,2009,0,-1,-0.02,0.01,-0.03,-5.3,-0.3,-8.6,-2.3,-0.8,-2.2,1.4,0.8,-0.078,0.206,-0.047,-1,3,-3,3,-4,0,-3,0.022,-0.032,320,0.03,1.17,-1.14,9,49,36,1,1,1,7,-13,-2,0,-4,3,0,2,-0.166,-2,0,0,3,-0.086,0,-5,0,-4,0.129,7,-1,0,-1,0.186
0,-2,ANA,SJS,2009,26,13,0.16,-0.44,0.6,0.6,3.6,0.1,6,2.9,-3.3,6.2,4,0.091,0.245,0.187,10,0,2,0,-8,-6,3,0.128,0.141,-68,0.02,-0.38,0.4,0,-35,8,1,-5,0,13,14,4,-34,5,-2,0,1,0.068,7,0,0,4,-0.095,9,-8,0,2,0.313,2,-7,0,2,0.093
1,4,CBJ,DET,2009,20,12,0.84,0.21,0.63,12.8,-3.8,15.4,-4.3,7.3,-0.1,7.4,3.9,0.029,-0.016,0.375,4,-3,9,1,-2,-9,5,0.121,0.072,-403,-0.34,-1.02,0.67,-3,-29,-41,0,-12,-1,16,18,37,-12,6,-5,0,4,0.074,13,-1,0,6,-0.065,5,-2,0,1,0.167,4,-9,0,-4,0.212
1,4,STL,VAN,2009,8,6,0.19,-0.17,0.36,-1.7,-2.4,-0.8,-3.3,0.8,0.7,0.1,2.8,-0.014,0.055,0.141,-1,3,2,0,0,-4,11,0.008,-0.005,103,0.38,0.45,-0.07,3,31,-1,0,6,-2,6,-4,4,7,8,0,0,0,0.081,2,-2,0,0,0.061,1,2,0,-1,0.014,1,-1,0,-1,0.041
1,2,CGY,CHI,2009,6,-4,0.11,-0.45,0.56,2.3,-2.8,4.7,-1.5,0.5,-1.2,1.7,-3.2,-0.196,0.134,0.119,-9,8,1,-2,1,-5,6,0.064,-0.111,-142,-0.4,-0.7,0.3,5,-50,-8,0,-3,1,15,-3,-4,-26,8,1,0,0,0.042,7,1,0,1,-0.021,0,-6,0,4,0.025,-1,-12,0,4,0.004
1,2,PIT,DET,2008,13,8,0.14,-0.41,0.55,0.3,3,1.2,2.8,6.7,-7.3,14,7.2,0,-0.013,0.315,1,-4,10,2,-1,-7,10,0.135,-0.085,-242,-0.32,-0.36,0.05,-10,19,-30,0,-6,-4,5,-9,5,-8,14,0,0,-1,0.089,0,2,0,-2,0,-5,-3,0,4,-0.162,0,-7,0,0,0.066
1,3,PHI,PIT,2008,7,3,-0.06,-0.18,0.12,-1.4,-2.3,-2.6,-4,-1.1,-1,-0.1,-3.2,0,0.1,0,-2,5,0,-3,-1,0,3,-0.086,0.118,184,0.77,0.87,-0.09,1,66,2,0,1,2,6,-10,-11,-9,4,0,0,0,0.035,6,0,0,0,0.018,1,-4,0,-4,0.119,2,-2,0,-3,0.082
1,2,DAL,DET,2008,18,10,0.18,-0.31,0.49,2.6,-1.6,3.1,-3.9,7.7,-2.6,10.3,2.9,0.056,0.154,0.27,2,0,10,4,-5,-5,2,0.172,0.079,-217,-0.07,-0.13,0.07,-4,31,-29,0,-8,-4,13,-9,-5,17,16,-2,0,-2,0.193,5,-2,0,-3,0.125,-3,-5,0,3,-0.07,1,-5,0,0,0.081
0,-3,PHI,MTL,2008,9,1,0.14,-0.14,0.28,2.3,-0.8,3,-1.8,0.3,-0.2,0.5,-0.3,0.016,-0.15,0.177,-3,-3,9,-7,3,-2,12,-0.035,-0.038,95,0.72,0.64,0.1,-1,67,-15,0,-1,3,12,-20,-2,-3,11,-1,0,1,0.075,2,0,0,1,-0.017,-5,-4,0,-3,-0.081,-1,-2,0,0,-0.022
1,3,NYR,PIT,2008,5,9,0.43,0.27,0.16,3.9,-3.6,2.8,-3.1,-3.8,4.9,-8.7,-6.2,0.045,0.208,-0.18,2,5,-5,-2,-5,4,0,0.1,-0.047,3,0.35,-0.02,0.36,5,-3,-3,0,-1,2,-4,13,20,0,-4,0,0,-3,0.05,9,0,0,0,0.029,7,2,0,-3,0.242,0,-3,0,-3,0.036
1,4,COL,DET,2008,20,14,0.34,-0.45,0.79,6.1,2.6,5.8,3.3,5.8,-3.8,9.6,5.5,0.041,0.181,0.259,1,4,7,2,-3,-7,7,0.186,0.011,-534,-1.06,-1.5,0.45,-5,-58,-44,-2,-10,-6,23,-18,-6,0,21,0,0,0,0.119,8,1,0,-1,0.025,-6,-10,0,3,-0.086,-2,-9,0,1,0.023
0,-2,DAL,SJS,2008,11,3,-0.26,-0.21,-0.05,0.6,0.2,0.5,-1.2,2.9,-1.9,4.8,0.8,0.161,-0.059,0.122,10,-3,0,0,0,-4,8,-0.009,0.158,-79,0.33,-0.2,0.53,1,-9,-7,1,-2,-2,4,-25,-30,19,5,3,0,1,-0.037,4,-4,0,-2,0.146,-2,-8,0,0,0.067,-1,2,0,0,-0.044
1,1,BOS,MTL,2008,10,5,0.62,0.01,0.61,6.5,3.9,7.6,3.5,0.6,1.1,-0.5,-0.1,-0.048,0.05,0.199,-6,1,10,-2,-1,-2,5,0.117,-0.069,-252,0.02,-0.99,1.02,3,-49,-36,0,-2,3,16,-5,24,3,7,-2,0,-1,0.124,1,1,0,0,-0.021,-2,0,0,-2,-0.05,-3,-5,0,5,-0.085
1,4,OTT,PIT,2008,8,2,-0.22,-0.36,0.14,2.1,-0.1,1.2,-3.2,-2.4,0.8,-3.2,-5.6,0.038,0.118,0.042,-1,6,1,0,-1,-1,-3,0.004,0.173,110,0.86,0.38,0.48,3,22,-2,0,5,2,1,-5,-10,-6,-1,0,0,-1,0.022,6,0,0,-1,0.043,5,-6,0,-2,0.221,1,-6,0,1,0.055
0,-1,PHI,WSH,2008,-1,-4,-0.09,0,-0.09,-3,-2.8,-3.8,-4.6,2.2,-4.3,6.5,1.9,0.016,-0.15,0.056,-3,-1,3,-5,5,0,10,-0.088,-0.054,180,0.22,1.3,-1.07,0,120,-14,0,0,1,10,-11,-15,-3,4,3,0,0,-0.049,-3,0,0,-1,0.018,-3,-2,0,-3,-0.031,-3,3,0,-4,-0.089
0,-3,NYR,NJD,2008,2,1,-0.09,0.03,-0.12,-0.9,-1.8,-1.5,-1,-2.7,1.6,-4.3,-1.9,0.173,-0.142,-0.138,12,-7,-4,-2,-2,3,0,0.1,-0.071,-202,-0.68,-0.75,0.07,2,-48,-6,0,-6,-2,-17,-3,9,-6,0,0,0,-2,0.048,2,2,0,-2,0.008,4,2,0,-3,0.16,2,-1,0,-4,0.079
1,2,NSH,DET,2008,24,14,0.3,-0.55,0.85,5.9,-1.4,6.9,-2.1,4.8,-6.3,11.1,2.8,0.014,0.199,0.315,1,7,5,2,-1,-12,6,0.087,0.16,-90,0.13,-0.03,0.17,-4,22,-18,0,0,-3,7,-9,23,-14,11,-1,0,-1,0.097,10,2,0,0,-0.029,1,-6,0,1,0.078,1,-11,0,-1,0.121
1,1,CGY,SJS,2008,14,4,-0.13,-0.45,0.32,1.9,4.3,1.8,4.3,1.4,-4.3,5.7,1.7,0.093,-0.002,0.122,5,1,0,-5,1,-4,13,-0.019,0.09,100,0.97,0.1,0.87,-4,-3,8,1,7,0,1,-29,-18,-8,7,6,0,1,-0.106,11,0,0,-3,0.121,-3,-6,0,-1,0.029,0,-4,0,2,0.01
